countycode,answered_field,gender,age,livingstatus,elderly,city,cities,geo,response
1,n3_aging_travel,1.0,1.0,1.0,0,1,1,north,1
1,n3_aging_travel,1.0,1.0,2.0,0,1,1,north,9
1,n3_aging_travel,1.0,1.0,3.0,0,1,1,north,1
1,n3_aging_travel,1.0,2.0,1.0,0,1,1,north,4
1,n3_aging_travel,1.0,2.0,2.0,0,1,1,north,21
1,n3_aging_travel,1.0,2.0,3.0,0,1,1,north,1
1,n3_aging_travel,1.0,3.0,1.0,0,1,1,north,6
1,n3_aging_travel,1.0,3.0,2.0,0,1,1,north,29
1,n3_aging_travel,1.0,3.0,3.0,0,1,1,north,1
1,n3_aging_travel,1.0,4.0,1.0,0,1,1,north,5
1,n3_aging_travel,1.0,4.0,2.0,0,1,1,north,42
1,n3_aging_travel,1.0,5.0,1.0,0,1,1,north,1
1,n3_aging_travel,1.0,5.0,2.0,0,1,1,north,39
1,n3_aging_travel,1.0,6.0,1.0,0,1,1,north,5
1,n3_aging_travel,1.0,6.0,2.0,0,1,1,north,57
1,n3_aging_travel,1.0,6.0,3.0,0,1,1,north,2
1,n3_aging_travel,1.0,7.0,1.0,0,1,1,north,4
1,n3_aging_travel,1.0,7.0,2.0,0,1,1,north,62
1,n3_aging_travel,1.0,7.0,3.0,0,1,1,north,1
1,n3_aging_travel,1.0,8.0,1.0,0,1,1,north,8
1,n3_aging_travel,1.0,8.0,2.0,0,1,1,north,69
1,n3_aging_travel,1.0,8.0,3.0,0,1,1,north,1
1,n3_aging_travel,1.0,9.0,1.0,0,1,1,north,5
1,n3_aging_travel,1.0,9.0,2.0,0,1,1,north,87
1,n3_aging_travel,1.0,9.0,3.0,0,1,1,north,2
1,n3_aging_travel,1.0,10.0,1.0,1,1,1,north,7
1,n3_aging_travel,1.0,10.0,2.0,1,1,1,north,60
1,n3_aging_travel,1.0,11.0,1.0,1,1,1,north,5
1,n3_aging_travel,1.0,11.0,2.0,1,1,1,north,22
1,n3_aging_travel,1.0,12.0,1.0,1,1,1,north,1
1,n3_aging_travel,1.0,12.0,2.0,1,1,1,north,8
1,n3_aging_travel,1.0,13.0,1.0,1,1,1,north,4
1,n3_aging_travel,1.0,13.0,2.0,1,1,1,north,9
1,n3_aging_travel,1.0,13.0,3.0,1,1,1,north,1
1,n3_aging_travel,2.0,1.0,1.0,0,1,1,north,12
1,n3_aging_travel,2.0,1.0,2.0,0,1,1,north,74
1,n3_aging_travel,2.0,2.0,1.0,0,1,1,north,17
1,n3_aging_travel,2.0,2.0,2.0,0,1,1,north,87
1,n3_aging_travel,2.0,3.0,1.0,0,1,1,north,20
1,n3_aging_travel,2.0,3.0,2.0,0,1,1,north,70
1,n3_aging_travel,2.0,3.0,3.0,0,1,1,north,1
1,n3_aging_travel,2.0,4.0,1.0,0,1,1,north,17
1,n3_aging_travel,2.0,4.0,2.0,0,1,1,north,97
1,n3_aging_travel,2.0,4.0,3.0,0,1,1,north,1
1,n3_aging_travel,2.0,5.0,1.0,0,1,1,north,16
